Y,X1,X2,X3
35614908,846,194,217
9618630,163,70,843
830115,585,11,129
11169060,393,290,98
138593412,282,606,811
98635890,411,515,466
351960180,494,935,762
66454080,385,464,372
28637500,725,500,79
3828000,240,275,58
341432250,915,850,439
206288640,762,960,282
23422464,256,391,234
110193084,366,361,834
86918910,430,213,949
35082320,793,112,395
25781112,118,306,714
277786080,923,480,627
11636736,256,48,947
289969680,715,852,476
167800500,525,761,420
6794865,265,231,111
57941356,682,107,794
239085000,460,875,594
258254568,929,297,936
118614510,378,647,485
52917300,417,141,900
164749680,216,857,890
121622420,670,323,562
27069618,43,878,717
4764528,72,123,538
76082695,559,163,835
15252300,126,150,807
188245344,444,452,938
26312850,146,675,267
43061760,180,896,267
233654400,320,855,854
55376631,641,261,331
4121820,85,898,54
306852300,387,881,900
29141466,359,489,166
11624580,380,927,33
23706900,142,477,350
10645936,734,392,37
164028695,305,641,839
11357280,660,18,956
28030860,45,858,726
342892228,997,994,346
197639920,466,460,922
11816100,90,691,190
166984608,224,933,799
22834308,318,446,161
4147416,28,211,702
193149605,803,365,659
288954666,546,609,869
50218072,356,281,502
165566064,862,906,212
25473736,223,218,524
242927806,418,967,601
514168842,979,813,646
36177624,252,426,337
123860352,924,142,944
425447366,802,857,619
500832,24,188,111
282106240,656,520,827
246944376,648,483,789
4783478,367,49,266
8581248,108,208,382
92480760,212,786,555
239319132,923,527,492
34304178,751,993,46
1022128,193,662,8
140882580,394,685,522
164910506,782,227,929
33360768,394,294,288
149234400,840,540,329
444011520,822,844,640
35453640,60,673,878
19690716,618,89,358
21776800,334,400,163
612833850,810,765,989
683200,28,122,200
309120,480,7,92
418660812,549,921,828
152326953,799,621,307
143663940,798,510,353
3970512,504,13,606
115919529,453,541,473
19662792,398,92,537
108758272,224,886,548
55718236,964,359,161
190567824,409,816,571
111665730,330,523,647
57008161,679,113,743
68490688,289,529,448
56960050,670,347,245
31098373,107,571,509
229465710,981,678,345
1443453,913,31,51
88830,329,2,135
5720160,12,701,680
4772274,366,767,17
65960090,805,773,106
3335145,697,33,145
1392768,186,13,576
72613800,315,565,408
135186480,505,858,312
476460549,729,839,779
315887028,716,739,597
338544998,671,727,694
405044109,589,701,981
38731140,521,354,210
803760,408,10,197
20690640,405,824,62
235185560,674,478,730
119304864,644,372,498
49068936,414,714,166
487629072,621,798,984
305896680,423,895,808
279149304,371,879,856
1902096,148,357,36
84785250,750,239,473
183074274,934,261,751
57690864,847,198,344
1945800,690,47,60
40871880,70,882,662
124593120,360,604,573
141200928,396,716,498
313973802,794,829,477
76344592,788,914,106
103627296,876,159,744
20976912,48,561,779
196538071,619,983,323
310190256,738,422,996
19757340,318,95,654
67203864,936,789,91
60540028,926,674,97
14784280,794,931,20
10755360,80,198,679
7771140,246,270,117
117102150,410,495,577
14107824,339,612,68
257249870,311,905,914
290308200,818,845,420
25204032,224,798,141
97899340,842,755,154
508567072,962,592,893
404618760,621,910,716
217990230,395,893,618
35889529,611,151,389
563165460,845,726,918
80163594,223,634,567
1319890,71,338,55
324645552,737,504,874
137503824,202,904,753
898904160,968,990,938
27163125,625,439,99
309377475,425,891,817
238907900,506,994,475
138713184,344,414,974
121561050,969,965,130
12893760,330,814,48
14443572,418,78,443
43740132,62,921,766
33070752,286,876,132
214246623,571,691,543
202941144,366,588,943
100707840,120,992,846
14228352,716,27,736
275708862,846,473,689
21731325,71,525,583
9052560,297,254,120
21646702,407,406,131
207595520,776,760,352
67104576,204,528,623
273296816,878,949,328
67306515,701,111,865
66653648,664,106,947
142256946,501,326,871
120958200,440,369,745
505599822,813,938,663
18112770,65,411,678
179086250,679,422,625
8636550,65,258,515
47449584,182,426,612
20955572,641,44,743
8510058,93,303,302
46234096,746,122,508
21460560,55,528,739
107672796,308,651,537
32082830,155,419,494
201176976,924,689,316
329702460,755,723,604
14179592,161,404,218
3042900,805,10,378
266304064,416,662,967
191178684,906,617,342
484902400,860,881,640
301974156,926,549,594
22103088,419,157,336
493433499,949,789,659
15138900,450,54,623
17280725,955,385,47
142533027,951,351,427
402388480,904,856,520
60411312,93,936,694
11075904,738,268,56
310992480,746,432,965
68151798,957,83,858
91069785,279,705,463
2266000,25,110,824
124352224,178,929,752
179482380,742,733,330
181533300,523,780,445
104562240,510,596,344
153433800,249,948,650
43332134,538,337,239
146734892,919,179,892
8567442,26,369,893
